country,year,suicides_no,population,gdp_for_year,gdp_per_capita,population_change,gdp_per_capita_change,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,mean_age,female
Albania,1987,73,2709600,2156624900,796,NA,NA,0.22239444936521996,0.19615441393563626,0.21656333038086803,0.2395925597874225,0.10411130794213168,0.02118393858872158,31.041666666666668,0.4860126956008267
Albania,1988,63,2764300,2126000000,769,54700,-0.035110533159947985,0.2224071193430525,0.1961798647035416,0.21654668451325834,0.2395543175487465,0.10407698151430742,0.02123503237709366,31.04366385703433,0.48605433563650835
Albania,1989,68,2803100,2335124988,833,38800,0.07683073229291716,0.22239663229995363,0.19617566265919875,0.21654596696514572,0.23959188041810853,0.10406335842460133,0.021226499232992045,31.042060575791087,0.4863543933502194
Albania,1992,47,2822500,709452584,251,19400,-2.318725099601594,0.19702391496899913,0.18171833480956598,0.23627989371124888,0.24786536758193092,0.11493356953055801,0.02217891939769708,31.859167404782998,0.5042338352524358
Albania,1993,73,2807300,1228071038,437,-15200,0.425629290617849,0.18829480283546468,0.1752217433120792,0.24275994728030492,0.2519502725038293,0.11915363516546147,0.0226195989028604,32.133900901221814,0.5084600862038258
Albania,1994,50,2849300,1985673798,697,42000,0.37302725968436157,0.1841855894430211,0.17284947180009125,0.2475344821535114,0.25135998315375707,0.12143333450321131,0.02263713894640789,32.339171024462146,0.5071772014178921
Albania,1995,88,2903400,2424499009,835,54100,0.16526946107784432,0.18071915685058895,0.17114417579389682,0.2522215333746642,0.24977612454363848,0.12344148239994489,0.022697527037266654,32.54942481228904,0.5076117655162913
Albania,1996,89,2940200,3314898292,1127,36800,0.259094942324756,0.1807019930616965,0.17114482008026666,0.25222773960955036,0.24981293789538125,0.12346098904836406,0.022651520304741175,32.54710563907217,0.5088089245629549
Albania,1997,170,2977300,2359903108,793,37100,-0.42118537200504413,0.18083498471769724,0.17126255332012225,0.25220837671715984,0.2496557283444732,0.12336680885365936,0.02267154804688812,32.54643468914789,0.5135189601316629
Albania,1998,154,3012700,2707123772,899,35400,0.11790878754171301,0.1807016961529525,0.17117535765260397,0.25236498821654996,0.24967637003352475,0.12347727951671258,0.022604308427656254,32.54987220765427,0.5102731768845222
Albania,1999,139,3029700,3414760915,1127,17000,0.2023070097604259,0.18067795491302768,0.17123807637719907,0.25240122784434105,0.24969468924315938,0.12344456546852824,0.022543486153744595,32.54579661352609,0.509390368683368
Albania,2000,54,2796300,3632043908,1299,-233400,0.13240954580446498,0.18020241032793333,0.17086864785609557,0.25279834066444945,0.2501877480956979,0.12352036619819047,0.0224224868576333,32.54264563887995,0.49079140292529416
Albania,2001,119,2799349,4060758804,1451,3049,0.10475534114403859,0.18840023162528144,0.15334100892743277,0.26756828105391645,0.22466366287304657,0.13805674104943685,0.02797007447088591,34.006588674724014,0.5032348592476322
Albania,2002,133,2818839,4435078648,1573,19490,0.0775588048315321,0.1912266007388148,0.15253478471101045,0.2686396775410018,0.2214823194939477,0.1382987818743816,0.027817835640843624,34.05812109169768,0.5033054388704001
Albania,2003,124,2843929,5746945913,2021,25090,0.22167243938644235,0.19583611264556886,0.15062752973087584,0.27003346426721625,0.21508307696851786,0.13967261489298782,0.02874720149483338,34.26011690165261,0.5034141147686879
Albania,2004,146,2874991,7314865176,2544,31062,0.2055817610062893,0.20140445657047273,0.1482881163801904,0.272419287573422,0.20483055425216984,0.1429719258251591,0.030085659398585943,34.63436233365601,0.5035177501425222
Albania,2005,0,2783320,8158548717,2931,-91671,0.13203684749232344,0.20249091013609646,0.13231105298708018,0.2754821579983617,0.204046246928129,0.1527370190994927,0.03293261285084,35.18348770533032,0.5029705531523504
Albania,2006,0,2780176,8992642349,3235,-3144,0.09397217928902628,0.20495716817928072,0.12966193507173646,0.2761774794113754,0.19782704404325482,0.15656095153688113,0.03481542175747147,35.5310311289645,0.502669255471596
